model,dataset,experiment_name,perturbation,dose,DEGs,r2mean,r2mean_top20,r2mean_top100,r2mean_all_boostrap_mean,r2mean_top20_boostrap_mean,r2mean_top100_boostrap_mean,cell_type_test,average_mean_expressed_diff,average_fractions_diff,average_mean_degs20_diff,average_mean_degs100_diff,edistance,wasserstein,euclidean,mean_pairwise,mmd
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,2,0.978,0.974,0.912,0.9773891471032804,0.9133562019172216,0.9729024814385064,Hepatocytes - central,0.90281355,0.6707005264491489,0.6277776,0.5548728,3.0352884537387816,1.3655744900089677,1.742208,1.0320776,3.035286922663115
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,17,0.984,0.984,0.984,0.9831371357202666,0.9807179647813732,0.983108593967412,Hepatocytes - central,0.9072268,0.6405619254341015,0.3983348,0.47529724,0.2028543209206977,0.6185591243563474,0.45039394,0.76484704,0.2028545432437624
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,1,0.982,0.974,0.994,0.982450478174652,0.9708778967083072,0.9661052947241188,Stellate Cells,0.8906902,0.7184907824082276,0.7102485,0.783029,1.080430949056575,1.1177622153199671,1.0394379,1.0289696,1.0804310004366997
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,8,0.97,0.96,0.976,0.969171328115104,0.9670445495051744,0.9664932013476804,Hepatocytes - central,0.90479064,0.6963903275476746,0.44070277,0.55320543,1.3163738790349515,1.2405927750560928,1.1473324,0.9695804,1.316374005226146
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,4,0.956,0.974,0.982,0.9515654359008834,0.9849877403992002,0.9659288460651664,Cholangiocytes,0.87936056,0.6811454784992189,0.4382109,0.696479,0.6704598800895277,0.8150418944661139,0.8188162,0.9044768,0.6704598201797008
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,5,0.956,0.974,0.986,0.9535223648005836,0.9836838909218248,0.9640262421180236,Portal Fibroblasts,0.87535745,0.7225425185249665,0.60164154,0.7989952,1.02815708683108,0.8796514418755244,1.0139811,0.9405492,1.0281570504207975
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,3.0,1,0.953,0.964,0.976,0.9500756499159828,0.9754990397222773,0.955048752006066,Portal Fibroblasts,0.8690989,0.7262668421052632,0.5980667,0.7891063,1.2060307676327622,0.8946152156856308,1.0981944,0.94564486,1.206030772455967
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,2,0.943,0.956,0.98,0.939226598354308,0.9623446929948608,0.9513820711618538,Cholangiocytes,0.87102324,0.7457450247524752,0.5842422,0.77436996,0.9276700275000286,0.9975789270329414,0.9631562,0.99074906,0.9276699804574352
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,57,0.978,0.968,0.962,0.9788353493848534,0.9615793360728966,0.9628274787866552,Hepatocytes - portal,0.90541565,0.6759239452248182,0.23025668,0.4451268,0.0891737752695049,0.4398482836139932,0.29861987,0.70717615,0.0891736151417466
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,10.0,4,0.953,0.937,0.96,0.9530975872267478,0.9645227301607178,0.9421969211905644,Stellate Cells,0.8803686,0.7010583507685068,0.66814077,0.71835065,2.9042782640702,1.2892595282136206,1.7041941,1.0694704,2.9042784972858344
